customer_id,product_id,sale_id,date,category,quantity,unit_price,discount,total_amount,payment_method,store_location,month,is_high_value,discount_pct,product_name,base_price,stock,age,city,name
CUS-001881,PROD-0874,SALE-000001,2026-02-26 14:19:52,Hogar,1,554.62,0.0,554.62,Tarjeta CMR,Lima Centro,2,NO,0.0,Hogar Item 874,554.62,250,66,Trujillo,Ani Garrido-Arnaiz
CUS-005350,PROD-0484,SALE-000002,2026-01-21 03:10:46,Hogar,1,79.42,0.15,67.51,App Fpay,Lima Centro,1,NO,15.0,Hogar Item 484,79.42,64,37,Lima,Débora Noa Alberola Fuente
CUS-001216,PROD-0241,SALE-000003,2026-02-17 17:11:53,Calzado,1,528.73,0.0,528.73,App Fpay,San Isidro,2,NO,0.0,Calzado Item 241,528.73,371,63,Lima,Eladio Méndez Cabrero
CUS-006506,PROD-0610,SALE-000004,2026-03-27 01:24:35,Moda,1,86.23,0.0,86.23,Tarjeta CMR,Online,3,NO,0.0,Moda Item 610,86.23,302,70,Piura,Carmina Revilla
CUS-000904,PROD-0221,SALE-000005,2026-02-07 05:44:24,Moda,1,228.93,0.0,228.93,Tarjeta CMR,Online,2,NO,0.0,Moda Item 221,228.93,189,70,Arequipa,Tito del Gámez
CUS-007321,PROD-0178,SALE-000006,2026-04-25 21:43:20,Electrohogar,1,2559.97,0.15,2175.97,Tarjeta CMR,San Isidro,4,SI,15.0,Electrohogar Item 178,2559.97,451,54,Arequipa,Urbano Mateu Morante
CUS-003648,PROD-0775,SALE-000007,2026-03-14 08:17:35,Moda,1,188.17,0.0,188.17,Tarjeta CMR,Online,3,NO,0.0,Moda Item 775,188.17,256,45,Trujillo,Macarena Reyna Uribe Lloret
CUS-006082,PROD-0995,SALE-000008,2026-03-14 06:54:13,Moda,1,189.14,0.0,189.14,Débito,San Isidro,3,NO,0.0,Moda Item 995,189.14,481,52,Cusco,Noa Morcillo Azorin
CUS-002895,PROD-0629,SALE-000009,2026-04-28 17:20:52,Moda,1,47.15,0.0,47.15,Efectivo,Miraflores,4,NO,0.0,Moda Item 629,47.15,202,50,Lima,Cecilia Rodriguez Prieto
CUS-005865,PROD-0218,SALE-000010,2026-03-14 19:43:23,Tecnología,1,4526.64,0.0,4526.64,App Fpay,Miraflores,3,SI,0.0,Tecnología Item 218,4526.64,338,34,Piura,Omar Roselló Alcolea
CUS-001649,PROD-0100,SALE-000011,2026-04-23 09:46:21,Moda,1,244.17,0.0,244.17,Débito,Miraflores,4,NO,0.0,Moda Item 100,244.17,67,65,Trujillo,Florencia España Escolano
CUS-005660,PROD-0023,SALE-000012,2026-04-19 03:30:09,Hogar,2,1112.59,0.0,2225.18,Débito,Miraflores,4,SI,0.0,Hogar Item 23,1112.59,245,38,Trujillo,Anselma Baeza Matas
CUS-002365,PROD-0790,SALE-000013,2026-01-14 16:31:26,Tecnología,1,5655.67,0.0,5655.67,Débito,Miraflores,1,SI,0.0,Tecnología Item 790,5655.67,32,30,Cusco,Ruperto Sáenz Serna
CUS-002366,PROD-0288,SALE-000014,2026-03-24 01:34:17,Hogar,3,830.17,0.0,2490.51,Efectivo,Miraflores,3,SI,0.0,Hogar Item 288,830.17,58,61,Arequipa,Anselmo Bautista Bou
CUS-008558,PROD-0302,SALE-000015,2026-04-03 17:43:55,Electrohogar,1,2343.95,0.0,2343.95,Tarjeta CMR,Online,4,SI,0.0,Electrohogar Item 302,2343.95,177,41,Cusco,Ágata Madrid Noguera
CUS-002611,PROD-0151,SALE-000016,2026-03-29 12:12:09,Moda,1,305.45,0.0,305.45,Tarjeta CMR,Miraflores,3,NO,0.0,Moda Item 151,305.45,191,26,Cusco,Edgardo Llanos Poza
CUS-009584,PROD-0595,SALE-000017,2026-01-13 23:40:31,Tecnología,3,463.78,0.0,1391.34,App Fpay,San Isidro,1,NO,0.0,Tecnología Item 595,463.78,231,32,Arequipa,Narciso Paz Alfaro
CUS-009404,PROD-0118,SALE-000018,2026-04-16 20:00:35,Electrohogar,3,3245.85,0.15,8276.92,App Fpay,Lima Centro,4,SI,15.0,Electrohogar Item 118,3245.85,440,70,Lima,Maximiano Casado Escamilla
CUS-006927,PROD-0707,SALE-000019,2026-05-10 22:23:18,Hogar,2,973.26,0.0,1946.52,App Fpay,Lima Centro,5,NO,0.0,Hogar Item 707,973.26,434,25,Arequipa,Jeremías Fabra Agustí
CUS-005838,PROD-0823,SALE-000020,2026-02-22 07:13:05,Tecnología,1,5334.85,0.0,5334.85,Tarjeta CMR,San Isidro,2,SI,0.0,Tecnología Item 823,5334.85,92,33,Piura,Celia Tejero-Sanchez
CUS-009603,PROD-0485,SALE-000021,2026-01-12 09:30:45,Electrohogar,1,3996.7,0.0,3996.7,Tarjeta CMR,Lima Centro,1,SI,0.0,Electrohogar Item 485,3996.7,117,58,Cusco,Crescencia de Pascual
