sale_id,date,customer_id,name,city,product_name,category,quantity,total_amount,payment_method
SALE-000001,2026-02-26 14:19:52,CUS-001881,Ani Garrido-Arnaiz,Trujillo,Hogar Item 874,Hogar,1,554.62,Tarjeta CMR
SALE-000002,2026-01-21 03:10:46,CUS-005350,Débora Noa Alberola Fuente,Lima,Hogar Item 484,Hogar,1,67.51,App Fpay
SALE-000003,2026-02-17 17:11:53,CUS-001216,Eladio Méndez Cabrero,Lima,Calzado Item 241,Calzado,1,528.73,App Fpay
SALE-000004,2026-03-27 01:24:35,CUS-006506,Carmina Revilla,Piura,Moda Item 610,Moda,1,86.23,Tarjeta CMR
SALE-000005,2026-02-07 05:44:24,CUS-000904,Tito del Gámez,Arequipa,Moda Item 221,Moda,1,228.93,Tarjeta CMR
SALE-000006,2026-04-25 21:43:20,CUS-007321,Urbano Mateu Morante,Arequipa,Electrohogar Item 178,Electrohogar,1,2175.97,Tarjeta CMR
SALE-000007,2026-03-14 08:17:35,CUS-003648,Macarena Reyna Uribe Lloret,Trujillo,Moda Item 775,Moda,1,188.17,Tarjeta CMR
SALE-000008,2026-03-14 06:54:13,CUS-006082,Noa Morcillo Azorin,Cusco,Moda Item 995,Moda,1,189.14,Débito
SALE-000009,2026-04-28 17:20:52,CUS-002895,Cecilia Rodriguez Prieto,Lima,Moda Item 629,Moda,1,47.15,Efectivo
SALE-000010,2026-03-14 19:43:23,CUS-005865,Omar Roselló Alcolea,Piura,Tecnología Item 218,Tecnología,1,4526.64,App Fpay
SALE-000011,2026-04-23 09:46:21,CUS-001649,Florencia España Escolano,Trujillo,Moda Item 100,Moda,1,244.17,Débito
SALE-000012,2026-04-19 03:30:09,CUS-005660,Anselma Baeza Matas,Trujillo,Hogar Item 23,Hogar,2,2225.18,Débito
SALE-000013,2026-01-14 16:31:26,CUS-002365,Ruperto Sáenz Serna,Cusco,Tecnología Item 790,Tecnología,1,5655.67,Débito
SALE-000014,2026-03-24 01:34:17,CUS-002366,Anselmo Bautista Bou,Arequipa,Hogar Item 288,Hogar,3,2490.51,Efectivo
SALE-000015,2026-04-03 17:43:55,CUS-008558,Ágata Madrid Noguera,Cusco,Electrohogar Item 302,Electrohogar,1,2343.95,Tarjeta CMR
SALE-000016,2026-03-29 12:12:09,CUS-002611,Edgardo Llanos Poza,Cusco,Moda Item 151,Moda,1,305.45,Tarjeta CMR
SALE-000017,2026-01-13 23:40:31,CUS-009584,Narciso Paz Alfaro,Arequipa,Tecnología Item 595,Tecnología,3,1391.34,App Fpay
SALE-000018,2026-04-16 20:00:35,CUS-009404,Maximiano Casado Escamilla,Lima,Electrohogar Item 118,Electrohogar,3,8276.92,App Fpay
SALE-000019,2026-05-10 22:23:18,CUS-006927,Jeremías Fabra Agustí,Arequipa,Hogar Item 707,Hogar,2,1946.52,App Fpay
SALE-000020,2026-02-22 07:13:05,CUS-005838,Celia Tejero-Sanchez,Piura,Tecnología Item 823,Tecnología,1,5334.85,Tarjeta CMR
SALE-000021,2026-01-12 09:30:45,CUS-009603,Crescencia de Pascual,Cusco,Electrohogar Item 485,Electrohogar,1,3996.7,Tarjeta CMR
SALE-000022,2026-04-10 18:37:26,CUS-003653,Jaime Gimeno Duarte,Cusco,Hogar Item 650,Hogar,3,2429.07,Efectivo
SALE-000023,2026-01-02 10:33:56,CUS-006042,René Barroso Pazos,Piura,Electrohogar Item 792,Electrohogar,1,2716.9,Tarjeta CMR
SALE-000024,2026-02-23 11:46:25,CUS-002364,Yésica Eva Lozano Barrios,Lima,Hogar Item 632,Hogar,1,188.69,Tarjeta CMR
SALE-000025,2026-03-12 02:49:46,CUS-003165,Anita Cordero Benito,Arequipa,Hogar Item 645,Hogar,1,280.05,App Fpay
SALE-000026,2026-03-14 10:12:43,CUS-001716,Tiburcio Frías,Trujillo,Hogar Item 1000,Hogar,4,1200.6,App Fpay
SALE-000027,2026-01-03 13:29:46,CUS-000826,Elpidio Piñol Duran,Cusco,Calzado Item 498,Calzado,1,410.5,Tarjeta CMR
SALE-000028,2026-02-01 13:00:04,CUS-008364,Jose Antonio Alfredo Ribas Nuñez,Cusco,Electrohogar Item 641,Electrohogar,2,5219.8,Débito
SALE-000029,2026-03-19 18:01:14,CUS-001141,Sandra Vélez,Trujillo,Moda Item 935,Moda,1,147.3,Débito
SALE-000030,2026-04-07 03:24:03,CUS-006145,Adriana Valdés Pinedo,Lima,Hogar Item 824,Hogar,1,337.64,Efectivo
SALE-000031,2026-03-02 18:45:28,CUS-000398,Alejo Álamo Taboada,Lima,Hogar Item 153,Hogar,1,976.55,Efectivo
SALE-000032,2026-05-03 07:45:52,CUS-008844,Vera Lamas-Alvarez,Piura,Tecnología Item 876,Tecnología,1,2968.76,App Fpay
SALE-000033,2026-05-06 15:37:29,CUS-006197,José Zapata Sanabria,Cusco,Hogar Item 157,Hogar,1,847.28,Débito
SALE-000034,2026-04-30 15:53:49,CUS-009539,María Cristina Botella Aznar,Lima,Hogar Item 638,Hogar,1,976.99,Débito
SALE-000035,2026-03-03 07:08:41,CUS-009391,Casemiro Reyes,Arequipa,Calzado Item 593,Calzado,4,1629.52,Débito
SALE-000036,2026-02-12 00:54:04,CUS-000049,Marianela Donaire Correa,Arequipa,Tecnología Item 774,Tecnología,1,2486.52,Efectivo
SALE-000037,2026-02-01 11:41:17,CUS-006988,Adelardo Peiró Peñalver,Cusco,Moda Item 847,Moda,1,284.2,Débito
SALE-000038,2026-02-08 03:44:25,CUS-008813,Ovidio Álvaro Cardona,Trujillo,Calzado Item 206,Calzado,1,287.71,Tarjeta CMR
SALE-000039,2026-04-05 10:50:10,CUS-001446,Aristides Amaya Ortiz,Arequipa,Moda Item 892,Moda,1,82.38,App Fpay
SALE-000040,2026-04-08 07:02:35,CUS-000901,Jonatan Naranjo Cabrera,Cusco,Calzado Item 448,Calzado,1,488.66,Débito
SALE-000041,2026-03-25 01:24:43,CUS-006950,Tito Vilanova Roman,Trujillo,Calzado Item 996,Calzado,1,104.48,Débito
SALE-000042,2026-03-12 01:20:33,CUS-003894,María Carmen Manzanares Muñoz,Trujillo,Electrohogar Item 544,Electrohogar,1,3071.68,Tarjeta CMR
SALE-000043,2026-01-08 16:59:40,CUS-006465,Herberto Ferrández Grande,Lima,Calzado Item 49,Calzado,1,156.11,Débito
SALE-000044,2026-03-02 00:07:32,CUS-000638,Andrés Felipe Boix Salazar,Trujillo,Moda Item 504,Moda,1,38.96,Efectivo
SALE-000045,2026-03-05 11:18:30,CUS-009041,Nicolasa Oliver López,Piura,Electrohogar Item 807,Electrohogar,1,2295.3,Débito
SALE-000046,2026-04-29 18:25:39,CUS-003474,Roldán del Peral,Piura,Moda Item 655,Moda,1,306.99,Débito
SALE-000047,2026-01-07 08:45:08,CUS-009474,Eutimio Fortunato Font Atienza,Cusco,Moda Item 17,Moda,1,123.84,Débito
SALE-000048,2026-04-27 22:48:20,CUS-005431,Marino Sandoval-Cerdán,Cusco,Hogar Item 16,Hogar,3,1143.48,Efectivo
SALE-000049,2026-01-22 20:06:18,CUS-009520,Toribio Alvarado Muñoz,Lima,Calzado Item 571,Calzado,1,254.79,Tarjeta CMR
SALE-000050,2026-01-16 18:32:35,CUS-005479,Pía Gordillo Lucas,Arequipa,Calzado Item 914,Calzado,2,453.74,App Fpay
SALE-000051,2026-05-05 23:14:53,CUS-009083,Eli Gloria Anaya Barrio,Trujillo,Tecnología Item 519,Tecnología,1,4437.83,App Fpay
SALE-000052,2026-04-06 00:12:51,CUS-000044,Godofredo Alcalá,Arequipa,Moda Item 416,Moda,4,1030.81,App Fpay
SALE-000053,2026-02-11 03:11:32,CUS-005802,Coral Benavides Arranz,Piura,Calzado Item 631,Calzado,1,339.14,Débito
SALE-000054,2026-01-21 22:42:53,CUS-008141,Guillermo Ferrero Portillo,Arequipa,Calzado Item 947,Calzado,1,272.23,Efectivo
SALE-000055,2026-02-22 19:54:49,CUS-000514,Norberto Carlos Jaén Checa,Lima,Electrohogar Item 173,Electrohogar,1,3889.24,App Fpay
SALE-000056,2026-03-19 15:56:06,CUS-002211,Rufina Galan Rivera,Arequipa,Tecnología Item 336,Tecnología,2,7536.22,Tarjeta CMR
SALE-000057,2026-04-23 08:11:46,CUS-003011,Nélida Galan Colomer,Arequipa,Electrohogar Item 48,Electrohogar,1,1278.35,Tarjeta CMR
SALE-000058,2026-01-20 22:49:29,CUS-000387,Soledad Ugarte Torres,Trujillo,Electrohogar Item 988,Electrohogar,1,2599.47,Tarjeta CMR
SALE-000059,2026-03-21 12:08:21,CUS-003938,Enrique Casanovas Herrero,Lima,Tecnología Item 73,Tecnología,2,5352.5,Débito
SALE-000060,2026-04-08 02:25:35,CUS-000745,Abraham Nazario Menendez Caparrós,Cusco,Moda Item 69,Moda,4,992.72,Débito
SALE-000061,2026-03-13 07:19:44,CUS-003325,Sandalio Sacristán Lledó,Trujillo,Electrohogar Item 673,Electrohogar,2,4486.9,Tarjeta CMR
SALE-000062,2026-02-01 05:53:05,CUS-008909,Demetrio Antón-Villena,Trujillo,Tecnología Item 603,Tecnología,3,1180.23,App Fpay
SALE-000063,2026-03-09 22:18:35,CUS-005320,Evelia Luque Falcó,Trujillo,Electrohogar Item 167,Electrohogar,2,1814.87,App Fpay
SALE-000064,2026-03-17 03:37:29,CUS-008057,Rufino Pedro Bartolomé Pont,Cusco,Moda Item 678,Moda,1,52.34,Efectivo
SALE-000065,2026-04-13 15:01:43,CUS-006168,Carmen Cañete Saavedra,Arequipa,Tecnología Item 260,Tecnología,2,2185.1,Efectivo
SALE-000066,2026-03-18 19:29:55,CUS-006368,Clementina Escudero-Arjona,Trujillo,Electrohogar Item 796,Electrohogar,1,781.52,Efectivo
SALE-000067,2026-04-21 20:59:16,CUS-006173,Carmelita Machado Tejada,Lima,Moda Item 730,Moda,1,54.61,Efectivo
SALE-000068,2026-04-30 08:24:36,CUS-005103,Ariel del Bolaños,Piura,Calzado Item 961,Calzado,1,351.33,Efectivo
SALE-000069,2026-01-24 21:22:59,CUS-000281,Tito Faustino Diéguez Cal,Cusco,Hogar Item 597,Hogar,2,2365.4,Débito
SALE-000070,2026-02-24 01:18:19,CUS-008223,Trini Ugarte Soto,Trujillo,Calzado Item 307,Calzado,2,634.92,Efectivo
SALE-000071,2026-04-01 22:03:32,CUS-007669,Jessica Salazar-Botella,Trujillo,Electrohogar Item 864,Electrohogar,2,4181.71,App Fpay
SALE-000072,2026-02-08 18:38:47,CUS-002534,Adora Blazquez Pardo,Piura,Moda Item 821,Moda,1,196.54,Débito
